x,Curve1
6.163,2.89673
14.168,1.9438
23.879,1.69359
34.013,1.53296
44.156,1.56982
54.285,1.31732
64.318,1.24625
74.144,1.21881
84.497,1.26945
94.217,1.20296
104.569,1.24901
114.705,1.13201
124.635,1.09078
134.776,1.10009
144.604,1.10709
154.846,1.02683
164.99,1.08206
175.023,1.01328
184.85,1.00421
194.888,1.03418
