x,Curve1
5.395,1.80473
11.143,1.68757
18.413,1.57041
27.195,1.4858
38.645,1.38491
47.798,1.32633
57.705,1.28728
69.516,1.24172
79.041,1.20917
90.087,1.17663
98.848,1.15059
