x,Curve1
0.017897,0.35909
0.022811,0.30455
0.028326,0.16705
0.035251,0.13636
0.044916,0.06705
0.05658,0.03409
0.0705,0.0625
0.08988,0.02045
0.1106,0.03523
0.14104,0.00909
0.17779,0.01023
0.22407,0.00227
0.28245,0.00227
0.35592,-0.01364
0.44326,-0.00795
0.55203,-0.00227
0.6958,-0.00795
0.8875,-0.02386
1.1185,-0.03295
1.3926,-0.04205
1.7771,-0.03523
2.2407,-0.02045
2.8235,-0.0375
3.5176,-0.01477
