x,Curve1
0.04831,0.43689
0.14251,0.40922
0.23913,0.34806
0.33092,0.30146
0.42271,0.22573
0.51691,0.21845
0.61111,0.14126
0.70773,0.12379
0.78986,0.11505
0.88889,0.09175
0.97826,0.10631
1.07246,0.11942
1.1715,0.09612
1.26812,0.11796
1.35749,0.11796
1.45169,0.16311
1.54831,0.15291
1.63527,0.15
1.73671,0.13252
1.82609,0.11796
